10/01/2006	PETRA42	0,29	41,58	16/01/2006	
10/01/2006	PETRA43	0,10	42,58	16/01/2006	
10/01/2006	PETRA44	0,03	43,58	16/01/2006	
10/01/2006	PETRB36	5,98	35,58	20/02/2006	
10/01/2006	PETRB38	4,18	37,58	20/02/2006	
10/01/2006	PETRB40	2,52	39,58	20/02/2006	
10/01/2006	PETRB42	1,27	41,58	20/02/2006	
10/01/2006	PETRB44	0,55	43,58	20/02/2006	
11/01/2006	PETR4	41,83	0,00	31/12/9999	
11/01/2006	PETRA28	14,38	27,58	16/01/2006	
11/01/2006	PETRA34	8,36	33,58	16/01/2006	
11/01/2006	PETRA36	6,24	35,58	16/01/2006	
11/01/2006	PETRA38	4,36	37,58	16/01/2006	
11/01/2006	PETRA39	3,23	38,58	16/01/2006	
11/01/2006	PETRA40	2,17	39,58	16/01/2006	
11/01/2006	PETRA41	1,24	40,58	16/01/2006	
11/01/2006	PETRA42	0,56	41,58	16/01/2006	
11/01/2006	PETRA43	0,23	42,58	16/01/2006	
11/01/2006	PETRA44	0,08	43,58	16/01/2006	
11/01/2006	PETRB34	8,74	33,58	20/02/2006	
11/01/2006	PETRB36	6,73	35,58	20/02/2006	
11/01/2006	PETRB38	4,83	37,58	20/02/2006	
11/01/2006	PETRB40	3,22	39,58	20/02/2006	
11/01/2006	PETRB42	1,73	41,58	20/02/2006	
11/01/2006	PETRB44	0,81	43,58	20/02/2006	
11/01/2006	PETRB46	0,31	45,58	20/02/2006	
11/01/2006	PETRB7	0,26	46,00	20/02/2006	
12/01/2006	PETR4	43,02	0,00	31/12/9999	
12/01/2006	PETRA34	9,63	33,58	16/01/2006	
12/01/2006	PETRA36	7,51	35,58	16/01/2006	
12/01/2006	PETRA38	5,45	37,58	16/01/2006	
12/01/2006	PETRA39	4,54	38,58	16/01/2006	
12/01/2006	PETRA40	3,36	39,58	16/01/2006	
12/01/2006	PETRA41	2,34	40,58	16/01/2006	
12/01/2006	PETRA42	1,45	41,58	16/01/2006	
12/01/2006	PETRA43	0,69	42,58	16/01/2006	
12/01/2006	PETRA44	0,28	43,58	16/01/2006	
12/01/2006	PETRB36	8,13	35,58	20/02/2006	
12/01/2006	PETRB38	6,06	37,58	20/02/2006	
12/01/2006	PETRB40	4,17	39,58	20/02/2006	
12/01/2006	PETRB42	2,57	41,58	20/02/2006	
12/01/2006	PETRB44	1,40	43,58	20/02/2006	
12/01/2006	PETRB46	0,62	45,58	20/02/2006	
12/01/2006	PETRB7	0,52	46,00	20/02/2006	
12/01/2006	PETRB8	0,24	48,00	20/02/2006	
12/01/2006	PETRC46	1,24	46,00	20/03/2006	
13/01/2006	PETR4	42,54	0,00	31/12/9999	
13/01/2006	PETRA34	9,00	33,58	16/01/2006	
13/01/2006	PETRA36	6,91	35,58	16/01/2006	
13/01/2006	PETRA38	4,94	37,58	16/01/2006	
13/01/2006	PETRA39	3,96	38,58	16/01/2006	
13/01/2006	PETRA40	2,98	39,58	16/01/2006	
13/01/2006	PETRA41	2,01	40,58	16/01/2006	
13/01/2006	PETRA42	1,04	41,58	16/01/2006	
13/01/2006	PETRA43	0,34	42,58	16/01/2006	
13/01/2006	PETRA44	0,09	43,58	16/01/2006	
13/01/2006	PETRB38	5,34	37,58	20/02/2006	
13/01/2006	PETRB40	3,69	39,58	20/02/2006	
13/01/2006	PETRB42	2,27	41,58	20/02/2006	
13/01/2006	PETRB44	1,29	43,58	20/02/2006	
13/01/2006	PETRB46	0,61	45,58	20/02/2006	
13/01/2006	PETRB8	0,21	48,00	20/02/2006	
16/01/2006	PETR4	43,19	0,00	31/12/9999	
16/01/2006	PETRA32E	31,58	31,58	16/01/2006	
16/01/2006	PETRA34E	33,58	33,58	16/01/2006	
16/01/2006	PETRA36	7,35	35,58	16/01/2006	
16/01/2006	PETRA36E	35,58	35,58	16/01/2006	
16/01/2006	PETRA37E	36,58	36,58	16/01/2006	
16/01/2006	PETRA38	5,33	37,58	16/01/2006	
16/01/2006	PETRA38E	37,58	37,58	16/01/2006	
16/01/2006	PETRA39E	38,58	38,58	16/01/2006	
16/01/2006	PETRA40	3,33	39,58	16/01/2006	
16/01/2006	PETRA40E	39,58	39,58	16/01/2006	
16/01/2006	PETRA41E	40,58	40,58	16/01/2006	
16/01/2006	PETRA42	1,36	41,58	16/01/2006	
16/01/2006	PETRA42E	41,58	41,58	16/01/2006	
16/01/2006	PETRA43	0,32	42,58	16/01/2006	
16/01/2006	PETRA43E	42,58	42,58	16/01/2006	
16/01/2006	PETRA44	0,01	43,58	16/01/2006	
16/01/2006	PETRB38	6,21	37,58	20/02/2006	
16/01/2006	PETRB40	4,33	39,58	20/02/2006	
16/01/2006	PETRB42	2,66	41,58	20/02/2006	
16/01/2006	PETRB43	1,99	42,58	20/02/2006	
16/01/2006	PETRB44	1,51	43,58	20/02/2006	
16/01/2006	PETRB45	1,11	44,58	20/02/2006	
16/01/2006	PETRB46	0,74	45,58	20/02/2006	
16/01/2006	PETRB48	0,33	47,58	20/02/2006	
16/01/2006	PETRB7	0,58	46,00	20/02/2006	
16/01/2006	PETRB8	0,25	48,00	20/02/2006	
17/01/2006	PETR4	43,23	0,00	31/12/9999	
17/01/2006	PETRB38	6,19	37,58	20/02/2006	
17/01/2006	PETRB40	4,40	39,58	20/02/2006	
17/01/2006	PETRB42	2,80	41,58	20/02/2006	
17/01/2006	PETRB44	1,55	43,58	20/02/2006	
17/01/2006	PETRB45	1,05	44,58	20/02/2006	
17/01/2006	PETRB46	0,75	45,58	20/02/2006	
17/01/2006	PETRB48	0,31	47,58	20/02/2006	
17/01/2006	PETRB50	0,12	49,58	20/02/2006	
17/01/2006	PETRB7	0,59	46,00	20/02/2006	
17/01/2006	PETRB8	0,23	48,00	20/02/2006	
18/01/2006	PETR4	42,26	0,00	31/12/9999	
18/01/2006	PETRB38	5,37	37,58	20/02/2006	
18/01/2006	PETRB40	3,58	39,58	20/02/2006	
18/01/2006	PETRB42	2,17	41,58	20/02/2006	
18/01/2006	PETRB44	1,15	43,58	20/02/2006	
18/01/2006	PETRB45	0,77	44,58	20/02/2006	
18/01/2006	PETRB46	0,51	45,58	20/02/2006	
18/01/2006	PETRB48	0,20	47,58	20/02/2006	
18/01/2006	PETRB50	0,07	49,58	20/02/2006	
19/01/2006	PETR4	43,67	0,00	31/12/9999	
19/01/2006	PETRB38	6,51	37,58	20/02/2006	
19/01/2006	PETRB40	4,70	39,58	20/02/2006	
19/01/2006	PETRB42	2,98	41,58	20/02/2006	
19/01/2006	PETRB44	1,60	43,58	20/02/2006	
19/01/2006	PETRB45	1,08	44,58	20/02/2006	
19/01/2006	PETRB46	0,71	45,58	20/02/2006	
